round,client_id,train_loss,train_accuracy,train_recall,train_f1,train_precision,val_loss,val_accuracy,val_recall,val_f1,val_precision
1,1624963195177073546,0.6648672355770453,0.7187385405207187,0.5594537617751434,0.5854004833235283,0.6365534666695942,0.4025148782683046,0.8679867986798679,0.8540995345506625,0.8527926322043969,0.865880503144654
1,9189040892612642589,0.6325998961996516,0.7426686217008798,0.6017983442760534,0.6311946888420318,0.6798689022887646,0.39892382694310263,0.8217821782178217,0.7314193687467506,0.7289333262233599,0.8828097062579822
2,1624963195177073546,0.5611119115659612,0.7612761276127613,0.6572010818454294,0.679288189868983,0.7133039511955092,0.397414765957939,0.8316831683168316,0.797798066595059,0.7730944453228864,0.8186238172680972
2,9189040892612642589,0.5605359105666405,0.7639296187683284,0.6470958524525686,0.6731886734579304,0.7138221890894086,0.34045916761418704,0.8811881188118812,0.8620575964696484,0.856038568541627,0.8503156802230936
3,9189040892612642589,0.5109936182668482,0.782624633431085,0.6919322200111213,0.7149372288119483,0.7471397075326208,0.31861663890365316,0.8811881188118812,0.8243890995320763,0.8516144563810899,0.9151303242212334
3,1624963195177073546,0.5080609777341446,0.7803447011367803,0.6876186441840634,0.7095712286449009,0.7411689573892758,0.3263814201284396,0.858085808580858,0.8658021782567017,0.8587029569892474,0.8531146844461875
4,9189040892612642589,0.48320701267417315,0.8145161290322581,0.7340786266927847,0.7581073817929774,0.7919663681141295,0.3035984925533596,0.8844884488448845,0.81918783313678,0.8575685272932979,0.9253770664559046
4,1624963195177073546,0.45699847148816014,0.817015034836817,0.7356801397057734,0.7567081638045158,0.785179334961894,0.30929694984010175,0.8811881188118812,0.8381206472402204,0.8672436139653751,0.9057381167721837
5,9189040892612642589,0.46987084860304407,0.8123167155425219,0.7162106595554789,0.7461028586531895,0.7892805897834935,0.33609512780400874,0.8613861386138614,0.8799756527473086,0.8565488731058549,0.8393728733071257
5,1624963195177073546,0.47221581511133925,0.8082141547488082,0.7279204025207268,0.7515262774558443,0.7841559759367979,0.28182247942803723,0.8943894389438944,0.8855058152293176,0.8867723004694836,0.8915626856803328
6,9189040892612642589,0.44921132027583954,0.8302785923753666,0.7512342773463038,0.7741846733439167,0.8066575057492488,0.26871678320151804,0.900990099009901,0.8714033908621718,0.8892906376777345,0.9092352092352093
6,1624963195177073546,0.4337932028742152,0.8250825082508251,0.7540545289435071,0.7736214798123529,0.7994010481087983,0.2540435255872772,0.8976897689768977,0.9006329187022857,0.8996385214519033,0.8986712212518665
7,9189040892612642589,0.4335171056725631,0.8321114369501467,0.7498733025243078,0.7735009874425619,0.806323181047539,0.29472585370470034,0.8778877887788779,0.8537410652768443,0.8645655525202381,0.88000858000858
7,1624963195177073546,0.42601938991427774,0.8316831683168316,0.7558701964812351,0.7791539177123846,0.8103725426162857,0.24561801826654883,0.9075907590759076,0.8768898051580565,0.8997957613856397,0.9276980329611909
8,9189040892612642589,0.4278014902021364,0.8350439882697948,0.7565482187330345,0.7790098507454243,0.8091759880962296,0.3112702858634293,0.8712871287128713,0.8574607844380476,0.8547774025677417,0.8578201970443349
8,1624963195177073546,0.4465277224650765,0.8214154748808215,0.7287229327463719,0.7559871840323141,0.7928845412776049,0.2443176190809984,0.9141914191419142,0.8957098968619706,0.9099298277128717,0.9306195596518178
9,9189040892612642589,0.4421332184255363,0.8244134897360704,0.7437450864887766,0.763664860707566,0.7924701497901486,0.33513864964295764,0.8547854785478548,0.8632665051970395,0.8564230154674712,0.8587839176074471
9,1624963195177073546,0.423779178022945,0.8331499816648331,0.7572140561111443,0.78046885770557,0.8119841149890202,0.2414654848950082,0.9042904290429042,0.8852372867653004,0.8998028574199989,0.9217052923008547
10,9189040892612642589,0.4107779342089875,0.8394428152492669,0.7686794537895562,0.7910168226061721,0.8199233002805014,0.2822734919303146,0.8976897689768977,0.8732632504427734,0.8874700285128908,0.9031792580179676
10,1624963195177073546,0.43208226422530727,0.8346167950128346,0.7602071287700195,0.7822937934346527,0.8102029090916196,0.30088461651221704,0.8712871287128713,0.8940871764665119,0.877566136437474,0.871609977324263
11,9189040892612642589,0.4030102636652133,0.8471407624633431,0.7855497939178159,0.8036453543459071,0.8273081192681557,0.25239204702359674,0.9108910891089109,0.8521538442029445,0.8904250173406227,0.950345502354308
11,1624963195177073546,0.42239988595520384,0.8357169050238357,0.754234634313978,0.7756887922705279,0.8045683978078252,0.2247786306359462,0.9075907590759076,0.8805712437776468,0.8986916028968773,0.9234554689225228
12,1624963195177073546,0.40477212896683906,0.8434176751008434,0.7774095681991356,0.7994208937731287,0.8285229363546384,0.2612563297581418,0.8877887788778878,0.8999052931868842,0.8932098765432098,0.892936773371556
12,9189040892612642589,0.39909720623966777,0.8390762463343109,0.7797281077894028,0.7956707125246602,0.8177417562257453,0.2860904441974861,0.8910891089108911,0.8871593603773823,0.8783660130718953,0.8700231242988301
13,9189040892612642589,0.4325110368723189,0.8361436950146628,0.7642614340961864,0.7879298000319658,0.8191446752563646,0.24580850958897682,0.9042904290429042,0.8456210874260811,0.8700064085680106,0.9139152860706977
13,1624963195177073546,0.39496630076759376,0.8437843784378438,0.7753118575726181,0.7923159924134632,0.8136019329009044,0.22396040890414856,0.9141914191419142,0.9198774586235173,0.9156284907864555,0.9118167562724014
14,1624963195177073546,0.40816662476884197,0.8452511917858453,0.7765297463736228,0.7970126333340707,0.8229025636405011,0.2251784721340396,0.9141914191419142,0.8839726043218645,0.9044081298397751,0.9338028169014084
14,9189040892612642589,0.3971025965646281,0.8475073313782991,0.7803601911886933,0.8007066077638325,0.8274887963048615,0.3132183355322157,0.8712871287128713,0.8574607844380476,0.8604478315831184,0.8716576456040057
15,1624963195177073546,0.38628399729540247,0.8481848184818482,0.7823440665017648,0.804707572271675,0.8323816674574308,0.23102576688305768,0.9042904290429042,0.9067195638866753,0.9023865076160136,0.8982174988753936
15,9189040892612642589,0.41595950160282075,0.8401759530791789,0.7680679842645208,0.7907064653074115,0.8205595667400166,0.2295293417624443,0.9141914191419142,0.857205053745715,0.8927293550353417,0.9387010198604401
16,9189040892612642589,0.3802858880564674,0.8544721407624634,0.7983268094879449,0.8194000781217664,0.8480147499825335,0.21586408949224278,0.9108910891089109,0.8930876627905503,0.9047961759492992,0.9174458215554105
